Key,SourceString,Context
"CreateMode_Status_SnappingOff","<T_ACC>Snapping:</> <T_BLDACC>OFF</>",""
"CreateMode_Status_SnappingOn","Snapping: <T_BOLD>ON</>",""
"CreateMode_Status_SnappingTarget","Target snapping",""
"CreateMode_Status_RotationAngle","Rotation <T_BLDACC>{value}°</>",""
"BuildingElement_Subheader_Resources","Required resources:",""
"BuildingElement_Text_ResourceCostNotEnough","<T_NEG_BOLD>{need}</> <T_NEG>({have})</>",""
"BuildingElement_Text_ResourceCostEnoughResources","<T_BOLD>{need}</> ({have})",""
"CreateMode_Restriction_AmountLimit","Amount limit has been reached",""
"CreateMode_Restriction_CoastlineDistance","The distance to the coastline is not maintained",""
"CreateMode_Restriction_LackOfStability","The structure is unstable",""
"CreateMode_Restriction_MissingLandscape","Must be placed on the ground",""
"CreateMode_Restriction_CannotBuildOnLandscape","Requires specific foundation, check building description for details",""
"CreateMode_Restriction_MissingWaterPlane","Must be placed on water",""
"CreateMode_Restriction_NotEnoughResources","Not enough resources",""
"CreateMode_Restriction_WrongArea_Global_Default","You can't build anything here",""
"CreateMode_Restriction_WrongArea_Global_BossArena","You can't build anything close to Boss Arenas",""
"CreateMode_Restriction_WrongArea_WaterArea","Building is restricted in this area by a faction outpost on a nearby island.",""
"CreateMode_Restriction_WrongArea_Biome","This building can't be built in this Biome",""
"CreateMode_Restriction_WrongArea_TaggedVolume","Nearby Point of Interest doesn't allow this building in vicinity",""
"CreateMode_Restriction_ByPlayerAmountLeft","Available for placement by you: <T_BOLD>{value}</> more",""
"CreateMode_Restriction_ByWorldAmountLeft","Can place: <T_BOLD>{value}</> more",""
"CreateMode_Restriction_ByPlayerAmountOver","Personal placement limit reached",""
"CreateMode_Restriction_ByWorldAmountOver","Archipelago placement limit reached",""
"SelectionMode_BuildingPanel_Header","Building Panel",""
"RadialMenu_Building_Catalog","Catalog",""
"RadialMenu_Building_SnappingSwitch","Snapping:",""
"RadialMenu_Building_RotationAngleMenu","Rotation angle",""
"RadialMenu_Building_Exit","Exit building mode",""
"RadialMenu_Building_Undo","Undo",""
"RadialMenu_Building_CameraSwitch","Camera :",""
"RadialMenu_Building_RotationAngle15","Rotation angle 15°",""
"RadialMenu_Building_RotationAngle30","Rotation angle 30°",""
"RadialMenu_Building_RotationAngle45","Rotation angle 45°",""
"RadialMenu_Building_RotationAngle90","Rotation angle 90°",""
"RadialMenu_Building_Catalog_Description","Catalog of available building schemes",""
"RadialMenu_Building_SnappingSwitch_Description","Change behavior of building preview",""
"RadialMenu_Building_RotationAngleMenu_Description","Change Rotation angle of building preview",""
"RadialMenu_Building_Exit_Description","Return to exploration",""
"RadialMenu_Building_Undo_Description","Cancel last building action (up to 10)",""
"RadialMenu_Building_CameraSwitch_Description","Change the height of building camera",""
"RadialMenu_Building_RotationAngle15_Description","Set rotation angle to 15°",""
"RadialMenu_Building_RotationAngle30_Description","Set rotation angle to 30°",""
"RadialMenu_Building_RotationAngle45_Description","Set rotation angle to 45°",""
"RadialMenu_Building_RotationAngle90_Description","Set rotation angle to 90°",""
"RadialMenu_Building_CameraLow","Camera:<T_ACC>LOW</>",""
"RadialMenu_Building_CameraHigh","Camera:<T_ACC>HIGH</>",""
"RadialMenu_Building_SnappingOn","Snapping :<T_ACC>ON</>",""
"RadialMenu_Building_SnappingOff","Snapping :<T_ACC>OFF</>",""
"CreateMode_Restriction_BuildingCenterOverlapped","Too close to another Bonfire!",""
"CreateMode_Restriction_BuildingCenterNotOwned","Trying to interact with another player's Bonfire!",""
"CreateMode_Restriction_NeedBuildingCenter","This building is only useful within Bonfire",""
"SideMenu_Option_Undo","Undo last action",""
"SideMenu_Option_Camera","Camera mode",""
"SideMenu_Option_CameraDefault","Default",""
"SideMenu_Option_CameraHigh","High",""
"SideMenu_Option_RotationAngle","Rotation angle",""
"SideMenu_Option_RotationAngle15","15°",""
"SideMenu_Option_RotationAngle30","30°",""
"SideMenu_Option_RotationAngle45","45°",""
"SideMenu_Option_RotationAngle90","90°",""
"SideMenu_Option_Snapping","Snapping",""
"SideMenu_Option_SnappingOn","On",""
"SideMenu_Option_SnappingOff","Off",""
"BuildingSelection_Status_EmptyTab","There are no elements available in this category",""
"CreateMode_Restriction_CropTooCloseToOtherCrops","Too close to other crops",""
"Building_Name_BuildingMode","Building Mode",""
