Key,SourceString,Context
"SideNotification_Header_NewRecipes","New recipes available:",""
"SideNotification_Header_NewBuildingElements","New building elements available:",""
"SideNotification_Text_MoreItems","+ {delta} more...","Shows when amount of unlocked recipes is more than notification block can show (3 by default)"
"MainNotification_Header_CollectionCompleted","COLLECTION COMPLETED",""
"MainNotification_Header_ChallengeCompleted","CHALLENGE COMPLETED",""
"MainNotification_Header_QuestCompleted","QUEST COMPLETED",""
"MainNotification_Header_QuestReceived","NEW QUEST",""
"MainNotification_Header_QuestUpdated","QUEST UPDATED",""
"MainNotification_Header_NewEmployee","THE CREW GREETS",""
"MainNotification_Header_NewDiscovery","NEW DISCOVERY",""
"MainNotification_Header_BossDefeated","BOSS DEFEATED",""
"MainNotification_Header_NewLevel","NEW LEVEL",""
"CustomNotification_Description_FastTravelActivated","Fast Travel Activated",""
"CustomNotification_Description_ImportantItemRecieved","Получен важный артефакт",""
"EnemyDefeatNotification_Description","Enemy Defeat",""
"SideNotification_Header_SpawnSet","Spawn point set",""
"SideNotification_Header_SpawnOccupied","This bedroll is occupied",""
"SideNotification_Header_SpawnAlreadySet","Spawn point is already set",""
"SideNotification_Header_QuestUpdated","Quest updated",""
"SideNotification_Header_ShipSummonSuccess","The ship is ready, Captain!",""
"SideNotification_Header_ShipSummonFailedByReason","Failed to recall your ship",""
"SideNotification_Header_ShipSummonFailedByCooldown","Ship recall is not available yet!",""
"ActionRing_Text_InactiveItemHint","{name}\r\n[Cannot be used]",""
"CharacterPanel_Text_HealthValues","{current} / {max}",""
"RangedWeaponPanel_Hint_NoCharges","Out of bullets or gunpowder",""
"RangedWeaponPanel_Hint_HoldToAim","Hold to aim",""
"StatusEffect_Text_EffectLevel","Level {value}",""
"StatusEffect_Text_EffectStackValue","x{value}",""
"StatusEffect_EmptyTooltip_Salve","Empty Elixir slot","DELETED"
"StatusEffect_EmptyTooltip_Oil","Empty Elixir slot",""
"StatusEffect_EmptyTooltip_Food","Empty Food slot",""
"OverlayEffect_Name_Lifesteal","Lifesteal!",""
"Quests_Header_ActiveQuests","Quests",""
"Quests_Header_PinnedRecipes","PinnedRecipes:",""
"Quests_Text_PinnedRecipeItemAmount","{style}{stock}</> / {required}","Showing for each item in pinned recipe, with color highlighting"
"Shortcuts_Text_InventoryFull","FULL",""
"PickupNotification_Text_ItemWithAmounts","+ {amount} {itemname} [{owned}]",""
"PickupNotification_Text_ItemRemoved","- {amount} {itemname}",""
"RespawnNotification_Display_YouDied","You Died",""
"Interaction_Hint_CutterTakeTheHelm","Take the helm",""
"MorphEditor_Body","Body",""
"MorphEditor_Head","Head",""
"MorphEditor_Eyebrows","Eyebrows",""
"MorphEditor_Ears","Ears",""
"MorphEditor_Nose","Nose",""
"CharacterStat_Name_DefencePower","Defence Power",""
"CharacterStat_Name_DefencePower_Desc","Defence Power (DEF) defines your character's defensive capabilities. Higher DEF reduces the Damage you take from enemies.\r\n\r\nThis value is calculated as the average DEF of all armor pieces you have equipped.",""
"CharacterStat_Name_AttackPower","Attack Power",""
"CharacterStat_Name_AttackPower_Desc","Attack Power (ATK) defines your character's offensive capabilities. Higher ATK allows you to deal more damage to higher level enemies.\r\n\r\nThis value is defined by the weapon you have equipped.",""
"Hitmark_ZeroDamage","<T_INEFFECTIVE>Immune</>",""
"CharacterCreation_Header_NameFromLobby","Character creation",""
"CharacterCreation_Header_NameFromGame","Character customization",""
"CharacterCreation_Category_Presets","Presets",""
"CharacterCreation_Category_Body","Character",""
"CharacterCreation_Category_BodyType","Body type",""
"CharacterCreation_Category_BodyShape","Body shape",""
"CharacterCreation_Category_Head","Head",""
"CharacterCreation_Category_Hair","Hair",""
"CharacterCreation_Category_Beards","Beards",""
"CharacterCreation_Category_Mustaches","Mustaches",""
"CharacterCreation_Category_Whiskers","Whiskers",""
"CharacterCreation_Category_Underwear","Underwear",""
"CharacterCreation_Category_Facial","Facial",""
"CharacterCreation_Category_Feet","Feet",""
"CharacterCreation_Category_Legs","Legs",""
"CharacterCreation_Category_Torso","Torso",""
"CharacterCreation_Category_Hands","Hands",""
"CharacterCreation_Category_Belt","Belt",""
"CharacterCreation_Category_Waist","Waist",""
"CharacterCreation_Category_Mask","Mask",""
"CharacterCreation_Category_Cape","Cape",""
"CharacterCreation_Category_Armor","Armor",""
"CharacterCreation_Category_Sash","Sash",""
"CharacterCreation_Header_HairColor","Hair color",""
"CharacterCreation_Category_ColorMain","Main",""
"CharacterCreation_Category_ColorSecondary","Additional",""
"CharacterCreation_Category_ColorDetails","Details",""
"CharacterCreation_Category_FacialHair","Facial Hair",""
"CharacterCreation_Category_GearColors","Gear Colors",""
"CharacterCreation_Category_SaveAndClose","Save and close",""
"CharacterCreation_Category_Masculine","Pirate King",""
"CharacterCreation_Category_Feminine","Pirate Queen",""
"CharacterCreation_Category_Tattoo","Tattoo",""
"CharacterCreation_Category_Name","Name",""
"CharacterCreation_Category_Origin","Origin",""
"CharacterCreation_Category_Age","Age",""
"CharacterCreation_Category_Cosmetics","Makeup",""
"CharacterCreation_Category_SkinDetails","Skin details",""
"CharacterCreation_BodyCategory_Adventurer","Adventurer",""
"CharacterCreation_BodyCategory_Native","Native",""
"CharacterCreation_BodyCategory_Scum","Scum",""
"CharacterCreation_Option_01","Option 1",""
"CharacterCreation_Option_02","Option 2",""
"CharacterCreation_Option_03","Option 3",""
"CharacterCreation_Option_04","Option 4",""
"CharacterCreation_Option_05","Option 5",""
"CharacterCreation_Option_06","Option 6",""
"CharacterCreation_Option_07","Option 7",""
"CharacterCreation_Option_08","Option 8",""
"CharacterCreation_Option_09","Option 9",""
"CharacterCreation_Option_10","Option 10",""
"CharacterCreation_SkinDetails_EyeColors","Eye color",""
"CharacterCreation_Tattoo_Face","Face",""
"CharacterCreation_Tattoo_Head","Head",""
"CharacterCreation_Tattoo_Chest","Chest",""
"CharacterCreation_Tattoo_Back","Back",""
"CharacterCreation_Tattoo_ShoulderRight","Shoulder Right",""
"CharacterCreation_Tattoo_ForearmRight","Forearm Right",""
"CharacterCreation_Tattoo_ShoulderLeft","Shoulder Left",""
"CharacterCreation_Tattoo_ForearmLeft","Forearm Left",""
"CharacterCreation_Tattoo_LegLeft","Leg Left",""
"CharacterCreation_Tattoo_LegRight","Leg Right",""
"CharacterCreation_Cosmetics_Eyeliner","Eyeliners",""
"CharacterCreation_Cosmetics_Lips","Lips",""
"CharacterCreation_Cosmetics_Cheecks","Blush",""
"RadialMenu_Character_Inventory","Inventory",""
"RadialMenu_Character_Journal","Journal",""
"RadialMenu_Character_CallShip","Recall ship",""
"RadialMenu_Character_Build","Build",""
"RadialMenu_Character_Map","Map",""
"RadialMenu_Character_Inventory_Description","Here I store all my stuff",""
"RadialMenu_Character_Journal_Description","My journey so far",""
"RadialMenu_Character_CallShip_Description","Crew! To me!",""
"RadialMenu_Character_Build_Description","My Home Is My Castle",""
"RadialMenu_Character_Map_Description","Where am I?",""
"SmartHint_Text_InventoryFull","Inventory is full",""
"Inventory_Description_PickupResource","No availiable inventory slots",""
"SmartHint_Text_BuildingAvailable","You can <T_BOLD>build a bonfire</> by switching to build mode",""
"SmartHint_Text_ShipSummonAvailable","Now you can <T_BOLD>call your boat</> to sail to another island",""
"SmartHint_Text_VoyageAvailable","Now available: <T_BOLD>Voyage</>",""
"SmartHint_Text_NewDiscoveries","New discoveries are available",""
"SmartHint_Text_JournalUpdate","New quest updates in Journal",""
"SmartHint_Text_NewRecipes","New Plans to learn in Curios",""
"SmartHint_Text_NewNotes","New Notes to read in Curios",""
"SmartHint_Alias_PinnedQuest","<T_BOLD>{questname}:</> {questgoal}",""
"SidePanel_OptionHint_Unavailable","Недоступно","Up to ~60-65 characters"
"SidePanel_OptionHint_UnavailableOnShip","Недоступно за штурвалом","Up to ~60-65 characters"
"SidePanel_OptionHint_OnlyAvailableOnShip","Доступно только на корабле","Up to ~60-65 characters"
"SidePanel_OptionHint_VoyageBlocked","Нужен корабельный навигатор",""
"SidePanel_OptionHint_NoShips","У вас ещё нет плавательных средств","Up to ~60-65 characters"
"SidePanel_OptionHint_ShipSummonOnCooldown","Призыв корабля ещё не готов","Up to ~60-65 characters"
"SidePanel_Option_ShowServerInfo","Show server info",""
"SidePanel_Option_HideServerInfo","Hide server info",""
"SidePanel_Option_ServerInfo_InviteCode","Invite code:",""
"SidePanel_Option_ServerInfo_Password","Password:",""
"CharacterStats_Strength_StatName","<img id=\""IconStrength\""/>",""
"CharacterStats_Agility_StatName","<img id=\""IconAgility\""/>",""
"CharacterStats_Precision_StatName","<img id=\""IconPrecision\""/>",""
"CharacterStats_Vitality_StatName","<img id=\""IconVitality\""/>",""
"CharacterStats_Mastery_StatName","<img id=\""IconMastery\""/>",""
"CharacterStats_Endurance_StatName","<img id=\""IconEndurance\""/>",""
