Key,SourceString,Context
"button_Cancel","Cancel",""
"button_Confirm","Confirm",""
"button_OK","OK",""
"button_Apply","Apply",""
"button_Exit","Exit",""
"button_Back","Back",""
"button_Continue","Continue",""
"button_Close","Close",""
"button_Quit","Quit",""
"button_Previous","Previous",""
"button_Reset","Reset",""
"button_Next","Next",""
"button_Delete","Delete",""
"button_CreateNew","Create new",""
"button_Edit","Edit",""
"button_Select","Select",""
"button_Skip","Skip",""
"rarity_Common","Common",""
"rarity_Uncommon","Uncommon",""
"rarity_Rare","Rare",""
"rarity_Epic","Epic",""
"rarity_Legendary","Legendary",""
"badge_New","NEW","Used in markers over some new entities in inventory, quests, journal entries etc"
"TargetLock_Toggle_On",": On",""
"TargetLock_Toggle_Off",": Off",""
"Value_NMore","+{value}",""
