Key,SourceString,Context
"Foliage_Bush","Куст",""
"Foliage_ThornBush","Колючий куст",""
"Foliage_Fiberbush","Трава",""
"Foliage_Liana","Лиана",""
"Foliage_Wooded_Liana","Древесная лиана",""
"Foliage_Fern","Папоротник",""
"Foliage_Sisal","Сизаль",""
"Foliage_Stump","Пень",""
"Foliage_RedBarrel","Barrel",""
"FoliageFruit_Pepper","Перец кайенский",""
"FoliageFruit_Bromelia","Бромелия",""
"FoliageFruit_Icaco","Икако",""
"FoliageFruit_Plumeria","Plumeria",""
"Pickable_LobsterMushroom","Гриб-лобстер",""
"Pickable_DodoEgg","Яйцо Додо",""
"Pickable_Corn","Кукуруза",""
"Pickable_Flax","Лен",""
"Pickable_Aloe","Алоэ",""
"Pickable_ScallopShellClosed","Закрытая раковина гребешка",""
"Pickable_TritonsTrumpet","Рог Тритона",""
"Pickable_Coconut","Кокос",""
"Pickable_MistyOrchid","Туманная орхидея",""
"Pickable_MetalScraps","Metal scraps",""
"Pickable_SpoiledFish","Spoiled fish",""
"Pickable_DriftWood","Палка","Drift wood"
"Pickable_ScatterLog","Палка","Scatter log"
"Pickable_SmallRock","Камень",""
"Pickable_GemBlue","Blue gem",""
"Pickable_GemGreen","Green gem",""
"Pickable_GemRed","Red gem",""
"Pickable_SenkamatiNecklaces","Ожерелье сенкамати",""
"Pickable_SenkamatiTalisman","Оберег сенкамати",""
"PickableChest_CJ_SenkamatiVase","Ancient container",""
"PickableChest_CJ_Bale","Supply Cache",""
"PickableChest_CJ_Barrel","Old Barrel",""
"PickableChest_HL_SenkamatiVase","Ancient container",""
"PickableChest_HL_Bale","Old package",""
"PickableChest_SW_SenkamatiVase","Ancient container",""
"PickableChest_SW_SenkamatiChest","Ancient container",""
"Pickable_Rope","Веревка",""
"Pickable_Firefly","Светлячок",""
"Pickable_UmbraFruit","Дурманящий плод",""
"Pickable_KaatlSeal","Дыхание Каатля",""
"Pickable_HealingHerbs","Целебные травы",""
"Pickable_Leek","Лук-порей",""
"Pickable_Lime","Лайм",""
"Pickable_Potato","Батат",""
"Pickable_Tomato","Томат",""
"Pickable_FishermanDiaryPage","Страница истлевшего дневника",""
"Pickable_Journal_01","Пожелтевший лист бумаги",""
"Pickable_Journal_02","Страница из дневника буканьера",""
"Pickable_Journal_03","Последнее письмо",""
"Pickable_Robinzon_01","Обрывки дневника",""
"Pickable_Robinzon_02","Обрывки дневника",""
"Pickable_Smuggler_01","Страница из дневника буканьера",""
"Pickable_GoldenAmber","Золотой янтарь",""
"Pickable_MaskPart","Часть золотой маски",""
"Pickable_VaultKey","Vault Key",""
"Pickable_Ashlands_Pineapple","Pineapple",""
"Swamp_OccultSacrifice","Occult sacrifice",""
"Swamp_TaxodiumBroken","Stick",""
"Minaral_Clay","Глина",""
"Mineral_Thorns","Колючки",""
"Minaral_GreyClay","Серая глина",""
"Minaral_Iron","Железо",""
"Mineral_PoorIron","Бедная железная порода",""
"Minaral_Copper","Медь",""
"Mineral_PoorCopper","Бедная медная порода",""
"Mineral_BadRock","Пустая порода",""
"Mineral_ShabbyWall","Ветхая стена",""
"Mineral_DamagedPillarBase","Поврежденное основание колонны",""
"Minaral_Sulphur","Сера",""
"Minaral_Salt","Соль",""
"Minaral_Debris","Обломки",""
"Minaral_MiddleRock","Камень",""
"Minaral_Soil","Плодородная почва",""
"Minaral_CorruptedSoil","Проклятая почва",""
"Minaral_AltarStatue","Древняя статуя",""
"Mineral_RootedMetall","Ancient debris",""
"Minaral_BrokenStatue","Разбитая статуя",""
"Minaral_FallingPillars","Ударить киркой для обрушения",""
"DarkRuins_AncientMedalion","Ancient medalion",""
"DarkRuins_AncientStatue","Ancient statue",""
"DarkRuins_DestructableBarrier","Ramshackle barrier",""
"SegmentTree_SmallFicus","Маленький фикус",""
"SegmentTree_Ficus","Фикус",""
"SegmentTree_FicusRed","Ficus red",""
"SegmentTree_FicusWhite","Ficus white",""
"SegmentTree_PalmSabal","Пальма",""
"SegmentTree_Palm","Пальма",""
"SegmentTree_PalmCoconut","Пальма с кокосами",""
"SegmentTree_Divi","Диви-диви",""
"SegmentTree_DiviSmall","Саженец диви-диви",""
"SegmentTree_Taxodium","Болотное дерево",""
"SegmentTree_CorruptedTree","Tainted Tree",""
"SegmentStump_CorruptedStump","Tainted Stump",""
"SegmentTree_BananaTree","Банан",""
"SegmentTree_Swietenia","Good tree",""
"DestructibleStructures_Canopy","Навес",""
"DestructibleStructures_Furniture","Мебель",""
"DestructibleStructures_Hut","Палатка",""
"DestructibleStructures_Tent","Палатка",""
"Shared_ScrapsNode","Обломки","Small node with metal scraps"
"Shared_OldDoor","Ветхая дверь",""
"Shared_WrecksNode","Обломки","Big shipwreck node with metal scraps"
"Shared_DestructibleQuestChest","Locked chest","A locked chest that you have to destroy to open."
"Shared_StorageQuestChest_Name","Деревянный сундук","Name of the treasure chest to be opened"
"Shared_PersonalChest_Name","Personal Chest",""
"Shared_PersonalChest_OldSkeleton_Name","Старый скелет",""
"Shared_StorageQuestChest_Description","При виде сундука сердце начинает биться быстрее. Что может быть внутри?\r\n\r\nПозволяет хранить вещи\r\n\r\nКомфорт +1","Description of the treasure chest to be opened"
"Creature_Name_FeralPirateXL","Big Boss",""
"Creature_Name_Armadillo","Armadillo",""
"Creature_Name_Boss_SwampToad","High Priestess",""
"Creature_Name_Boss_Boatswain","Thomas Richards",""
"Creature_Name_SkeletonSaber","Skeleton with saber",""
"Creature_Name_Heavy_Polehook","Polehook",""
"Creature_Name_Jaguar","Jaguar",""
"Creature_Name_Heron","Heron",""
"Creature_Name_FeralPirate","Feral pirate",""
"Creature_Name_FeralPirateSaber","Pirate with saber",""
"Creature_Name_FeralPirateMace","Pirate with club",""
"Creature_Name_FeralPirateMachete","Pirate with machete",""
"Creature_Name_Crew_RegularCombatant","Crewmate",""
"Creature_Name_Crab","Crab",""
"Creature_Name_Crab_Drowned","Thorn fiddler",""
"Creature_Name_Boar","Boar",""
"Creature_Name_BoarCharger","Charging Boar",""
"Creature_Name_BoarMega","Savage Boar",""
"Creature_Name_BoarF","Sow",""
"Creature_Name_BoarFriend","Truffle",""
"Creature_Name_Crocodile","Crocodile",""
"Creature_Name_CrocodileCorrupted","Plague Crocodile",""
"Creature_Name_CrocodileFriend","Snowflake",""
"Creature_Name_Deer","Deer",""
"Creature_Name_DodoAzure","Azure Dodo",""
"Creature_Name_Dodo","Shore Dodo",""
"Creature_Name_Brit","Brit",""
"Creature_Name_Drowned","Drowned",""
"Creature_Name_Drowned_Armored","Armored Drowned",""
"Creature_Name_Drowned_Spitter","Swollen Drowned",""
"Creature_Name_Heromob","Heromob",""
"Creature_Name_Undead","Undead",""
"Creature_Name_HeromobMusket","HeromobMusket",""
"Creature_Name_Blackbeard_Sailor","Sailor","Моряк Черной Бороды"
"Creature_Name_Blackbeard_Hound","Hound",""
"Creature_Name_Blackbeard_Huntsman","Huntsman","Псарь Черной Бороды"
"Creature_Name_Blackbeard_Grenadier","Grenadier","Гренадер Черной Бороды"
"Creature_Name_BritainArmy_Soldier","Soldier",""
"Creature_Name_BritainArmy_Musketeer","Musketeer",""
"Creature_Name_Blackbeard_Sergeant","Sergeant","Сержант Черной Бороды"
"Creature_Name_Blackbeard_Sergeant_RichardsAssistant","Richards' Lieutenant",""
"Creature_Name_Blackbeard_Sergeant_HenchmanHands","Hands' Lieutenant",""
"Creature_Name_Blackbeard_Musketeer","Musketeer","Стрелок Черной Бороды"
"Creature_Name_Blackbeard_Assassin","Pirate Scum","Головорез Черной Бороды"
"Creature_SenkamatiCorrupted_Regular_Thrall","Plague Thrall","Чумной Раб"
"Creature_SenkamatiCorrupted_Regular_Tracker","Plague Tracker","Чумной Следопыт"
