Key,SourceString,Context
"GE_Buff_HPRegen","Health Regeneration",""
"GE_Neutral_Drunk","Full of courage","\"""
"GE_Neutral_Drunk_Details","Actions taken under this effect tend to be bold, unnecessary, and occasionally memorable.",""
"GE_Debuff_Burning","Burning",""
"GE_Buff_Blunt_Add","Blunt +20",""
"GE_Buff_Blunt_Modifier","Blunt x2",""
"GE_Buff_Blunt_Resist","Blunt 25% resist",""
"GE_Debuff_Blunt_Penalty","Blunt 50% penalty",""
"GE_Debuff_Blunt_Weakness","Blunt 50% weakness",""
"GE_Buff_Cursed_Add","Cursed +20",""
"GE_Buff_Cursed_Modifier","Cursed x2",""
"GE_Buff_Cursed_Resist","Cursed 25% resist",""
"GE_Debuff_Cursed_Penalty","Cursed 50% penalty",""
"GE_Debuff_Cursed_Weakness","Cursed 50% weakness",""
"GE_Buff_Fire_Add","Fire +20",""
"GE_Buff_Fire_Modifier","Fire x2",""
"GE_Buff_Fire_Resist","Fire 25% resist",""
"GE_Debuff_Fire_Penalty","Fire 50% penalty",""
"GE_Debuff_Fire_Weakness","Fire 50% weakness",""
"GE_Buff_Global_Add","Global +20",""
"GE_Buff_Global_Modifier","Global x2",""
"GE_Buff_Global_Resist","Global 25% resist",""
"GE_Debuff_Global_Penalty","Global 50% penalty",""
"GE_Debuff_Global_Weakness","Global 50% weakness",""
"GE_Buff_Melee_Add","Melee +20",""
"GE_Buff_Melee_Modifier","Melee x2",""
"GE_Buff_Melee_Resist","Melee 25% resist",""
"GE_Debuff_Melee_Penalty","Melee 50% penalty",""
"GE_Debuff_Melee_Weakness","Melee 50% weakness",""
"GE_Buff_Pierce_Add","Pierce +20",""
"GE_Buff_Pierce_Modifier","Pierce x2",""
"GE_Buff_Pierce_Resist","Pierce 25% resist",""
"GE_Debuff_Pierce_Penalty","Pierce 50% penalty",""
"GE_Debuff_Pierce_Weakness","Pierce 50% weakness",""
"GE_Buff_Poison_Add","Poison +20",""
"GE_Buff_Poison_Modifier","Poison x2",""
"GE_Buff_Poison_Resist","Poison 25% resist",""
"GE_Debuff_Poison_Penalty","Poison 50% penalty",""
"GE_Debuff_Poison_Weakness","Poison 50% weakness",""
"GE_Buff_Range_Add","Range +20",""
"GE_Buff_Range_Modifier","Range x2",""
"GE_Buff_Range_Resist","Range 25% resist",""
"GE_Debuff_Range_Penalty","Range 50% penalty",""
"GE_Debuff_Range_Weakness","Range 50% weakness",""
"GE_Buff_Slash_Add","Slash +20",""
"GE_Buff_Slash_Modifier","Slash x2",""
"GE_Buff_Slash_Resist","Slash 25% resist",""
"GE_Debuff_Slash_Penalty","Slash 50% penalty",""
"GE_Debuff_Slash_Weakness","Slash 50% weakness",""
"GE_Debuff_DoT","Damage over time!",""
"GE_Debuff_Mosquitos","Bloodthirsty Mosquitos",""
"GE_Buff_Warmth_Name","Resting place",""
"GE_Buff_Warmth_Description","Health regeneration",""
"GE_Overweight_Name","Encumbered",""
"GE_Overweight_Desc","Тяжесть вашей ноши настолько высока, что ваше передвижение замедляется, а выносливость не может восстанавиться.",""
"GE_Buff_PerfectBlock","PERFECTO!",""
"GE_Buff_Rested_Name","Rested",""
"GE_Buff_Rested_Level_0","9 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_1","10 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_2","11 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_3","12 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_4","13 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_5","14 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_6","15 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_7","16 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_8","17 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_9","18 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_10","19 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_11","20 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_12","21 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_13","22 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_14","23 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_15","24 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Rested_Level_16","25 minutes. Regenerates health and accelerates stamina recovery",""
"GE_Buff_Shelter_Name","In the shelter",""
"GE_Debuff_Swimming","Swimming",""
"GE_Debuff_Drowning","Drowning",""
"GE_Comfort_NeedRest","Rest Area",""
"GE_Comfort_Resting","Resting...",""
"GE_Comfort_Rested","Rested",""
"GE_Comfort_ConditionInfo","{description}  {LevelInfo}",""
"GE_Comfort_LevelInfo","(Level {level})",""
"GE_Comfort_NeedRest_Description","Make yourself at home",""
"GE_Comfort_Resting_Description","Relax for a while",""
"GE_Comfort_Rested_Description","Stamina now regenerates faster",""
"GE_Comfort_Comfort_Condition","Comfort",""
"GE_Comfort_Shelter_Condition","Shelter",""
"GE_Comfort_Warmth_Condition","Resting place",""
"GE_Comfort_Comfort_Condition_Level","Level {level}",""
"GE_CorruptionStatus_Corrupted_Name","CORRUPTED",""
"GE_CorruptionStatus_Corrupted_Desc","Вы под пагубным воздействием древнего проклятья!",""
"GE_Buff_CorruptionBlocker","Защита от Порчи",""
"GE_Player_Hunger_Name","Hunger",""
"GE_Player_Hunger_Desc","Максимальный запас выносливости снижен.",""
"GE_Buff_Jevelry_NeclaceDamageStack","+ 10% DMG",""
"GE_Buff_PotionBerserk","- Health + Melee Damage",""
"GE_Buff_Jevelry_NeclaceBalance","Чётки Свободы",""
"GE_Buff_Jevelry_ParryHeal","Ожерелье Дуэлянта",""
"GE_Buff_PotionPostureBoost","Усиление блока",""
"GE_Status_DoT_Bleeding_Shared_Name","Bleeding",""
"Wpn_Rapier_Eviscerate_PrecisionStrike_Status_EffectName","Беззащитность",""
"Wpn_Saber_Boarding_Versatile_Status_EffectName","Take aim!",""
"Wpn_Saber_Corrupted_CorruptionBurst_Overflow_EffectName","Plague Echoes",""
"Wpn_Saber_Corrupted_CorruptionBurst_Status_EffectName","Plague Infused",""
"Wpn_Saber_Parrying_PerfectBlock_Status_EffectName","Retaliation",""
"Wpn_Pistol_DrakesDoom_Quickhand_Status_EffectName","Быстрая рука (Quickhand)",""
"GE_Status_DoT_Bleeding_Shared_Description","You receive {0} Damage per second for each stack, use bandages to remove effect",""
"Wpn_Rapier_Eviscerate_PrecisionStrike_Status_EffectDescription","Next Heavy Attack that will hit you will deal more Damage to you",""
"Wpn_Saber_Boarding_Versatile_Status_EffectDescription","Next shot's Damage increased by {0} per effect stack. Stacks limit: {1}.",""
"Wpn_Saber_Corrupted_CorruptionBurst_Overflow_EffectDescription","Special [F] attack is now available",""
"Wpn_Saber_Corrupted_CorruptionBurst_Status_EffectDescription","Deal more damage to activate a special attack",""
"Wpn_Saber_Parrying_PerfectBlock_Status_EffectDescription","Melee damage increased by {0} per effect stack. Stacks limit: {1}.",""
"Wpn_Pistol_DrakesDoom_Quickhand_Status_EffectDescription","Next shot's Damage increased.",""
"GE_Wetness_Name","Wet",""
"GE_Wetness_Desc","Максимальная выносливость снижена.\r\n\r\nИсточник: Окружение",""
"GE_Swimming_DamageOnZeroStamina_Name","Drowning",""
"GE_Swimming_DamageOnZeroStamina_Desc","Вы тонете и получаете периодический урон!\r\n\r\nИсточник: Окружение",""
"GE_Consumable_Potion_CheatDeath_T01_Name","Второй Шанс",""
"GE_Consumable_Potion_CheatDeath_T01_Desc","Помогает избежать смертельного удара, даруя шанс, который редко выпадает дважды.",""
"GE_Consumable_Bandages_Name","Первая помощь",""
"GE_Consumable_Bandages_Desc","Бинтование постепенно восстанавливает здоровье.",""
"GE_Jewelry_Necklace_Berserk_Attribute_Name","Урон в ближнем бою увеличен",""
"GE_Jewelry_Necklace_CorruptDmgBuff_Attribute_Name","Урон в ближнем бою увеличен",""
"GE_Jewelry_Necklace_DashDmgBonusAdd_Attribute_Name","Урон увеличен",""
