Key,SourceString,Context
"InputAction_Name_PlaceBlock","Build / [HOLD] Quick Build",""
"InputAction_Name_Rotate","Rotate",""
"InputAction_Name_RotateCW","Rotate Clockwise",""
"InputAction_Name_RotateCCW","Rotate Counterclockwise",""
"InputAction_Name_Interaction","Interaction",""
"InputAction_Name_SecondaryInteraction","Secondary Interaction",""
"InputAction_Name_DestroyMode","Toggle Destroy Mode",""
"InputAction_Name_Undo","Undo",""
"InputAction_Name_Manage","Manage",""
"InputAction_Name_AnyKey","Any Key",""
"InputAction_Name_SelectRadialElement","Select radial element",""
"InputAction_Name_OpenSelectionPanel","Open Catalog",""
"InputAction_Name_DestroyBlock","Destroy Block",""
"InputAction_Name_CloseSelectionPanel","Close Selection Panel",""
"InputAction_Name_EnterBuildingMode","Toggle Building Mode",""
"InputAction_Name_Previous","Previous",""
"InputAction_Name_Next","Next",""
"InputAction_Name_MoveUpDown","Move Up/Down",""
"InputAction_Name_MoveUp","Move Up",""
"InputAction_Name_MoveDown","Move Down",""
"InputAction_Name_CameraMode","Camera Mode",""
"InputAction_Name_RotationStep","Rotation Step",""
"InputAction_Name_Snapping","Snapping: <T_BOLD>ON</>",""
"InputAction_Name_SnappingMode","Snapping Mode",""
"InputAction_Name_PinRecipe","Pin Recipe",""
"InputAction_Name_SpyGlass","Spy Glass",""
"InputAction_Name_CameraZoom","Camera Zoom",""
"InputAction_Name_CloseMenu","Close Menu",""
"InputAction_Name_Apply","Apply",""
"InputAction_Name_DiscardChanges","Discard Changes",""
"InputAction_Name_ResetToDefaults","Reset To Defaults",""
"InputAction_Name_Select","Select",""
"InputAction_Name_ShiftBlock","Shift Block",""
"InputAction_Name_Crouch","Crouch",""
"InputAction_Name_SaveBlueprint","Save Blueprint",""
"InputAction_Name_LeftTrigger","Left Trigger",""
"InputAction_Name_HeavyAttack","Heavy Attack",""
"InputAction_Name_Jump","Jump",""
"InputAction_Name_LightAttack","Light Attack",""
"InputAction_Name_TargetLock","Target Lock",""
"InputAction_Name_TargetLock_SwitchUp","Change Target(Up)",""
"InputAction_Name_TargetLock_SwitchDown","Change Target(Down)",""
"InputAction_Name_TargetLock_SwitchLeft","Change Target(Left)",""
"InputAction_Name_TargetLock_SwitchRight","Change Target(Right)",""
"InputAction_Name_NextFocus","Next focus",""
"InputAction_Name_Look","Look",""
"InputAction_Name_Move","Move",""
"InputAction_Name_NextCamera","Next Camera",""
"InputAction_Name_PreviousCamera","Previous Camera",""
"InputAction_Name_ShootAction","Shoot",""
"InputAction_Name_ActivateGun","Activate Gun",""
"InputAction_Name_ReloadAction","Reload",""
"InputAction_Name_SpecialAttack","Special Attack",""
"InputAction_Name_Sprint","Sprint",""
"InputAction_Name_SelectCannonball","Select Cannonballs",""
"InputAction_Name_SelectChainshot","Select Chain Shots",""
"InputAction_Name_SelectMode","Select Mode",""
"InputAction_Name_Walk","Walk",""
"InputAction_Name_OpenMap","Open Map",""
"InputAction_Name_OpenInventory","Open Inventory",""
"InputAction_Name_CharacterCustomization","Character Customization",""
"InputAction_Name_OpenAdventureTab","Open Adventure",""
"InputAction_Name_OpenDiscoveryTab","Open Discovery",""
"InputAction_Name_Open","Open",""
"InputAction_Name_QuickMoveSlot","Quick Move",""
"InputAction_Name_QuickDrop","Drop Item",""
"InputAction_Name_SummonChip","Call Ship",""
"InputAction_Name_TakePartOfSlot","Split stack",""
"InputAction_Name_PlaceMark","Place Mark",""
"InputAction_Name_NextTab","Next Tab",""
"InputAction_Name_NextTab_Secondary","Next Tab (Secondary)",""
"InputAction_Name_PreviousTab","Previous Tab",""
"InputAction_Name_PreviousTab_Secondary","Previous Tab (Secondary)",""
"InputAction_Name_UseTake","Use / Take",""
"InputAction_Name_MoveForward","Move Forward",""
"InputAction_Name_MoveBackward","Move Backward",""
"InputAction_Name_MoveLeft","Move Left",""
"InputAction_Name_MoveRight","Move Right",""
"InputAction_Name_SlowWalk","Slow Walk",""
"InputAction_Name_ToggleControls","Toggle Controls",""
"InputAction_Name_Interact","Interact",""
"InputAction_Name_Block","Block",""
"InputAction_Name_BlockTwoHanded","Block (Two-Handed Ranged Weapon)",""
"InputAction_Name_RemoveWeapon","Remove weapon",""
"InputAction_Name_RemoveWeaponHold","[HOLD] Remove weapon",""
"InputAction_Name_DownTransmission","Slow down / Reverse",""
"InputAction_Name_UpTransmission","Speed up",""
"InputAction_Name_ToggleShanty","Toggle Shanty",""
"InputAction_Name_Aim","Aim",""
"InputAction_Name_AimTwoHanded","Aim (Two-Handed Ranged Weapon)",""
"InputAction_Name_Dash","Dash",""
"InputAction_Name_ShipInteract","Interact (from ship)",""
