Key,SourceString,Context
"ItemStat_Name_AttackPower","ATK",""
"ItemStat_Name_Defence","DEF",""
"ItemStat_Name_Agility","Agility",""
"ItemStat_Name_Precision","Precision",""
"ItemStat_Name_Mobility","Mobility","DELETED"
"ItemStat_Name_Vitality","Vitality",""
"ItemStat_Name_Fortitude","Fortitude","DELETED"
"ItemStat_Name_Blunt","Blunt",""
"ItemStat_Name_Fire","Fire",""
"ItemStat_Name_Holy","Holy",""
"ItemStat_Name_Pierce","Pierce",""
"ItemStat_Name_Sail","Sail",""
"ItemStat_Name_Cursed","Cursed",""
"ItemStat_Name_Corrupt","Corrupt",""
"ItemStat_Name_Strentgh","Strength",""
"ItemStat_Name_Mastery","Mastery",""
"ItemStat_Name_Slash","Slash",""
"ItemStat_Name_Poison","Poison",""
"ItemStat_Name_Crude","Crude",""
"ItemStat_Name_ArmorPenetration","Armor Penetration",""
"ItemStat_Name_Endurance","Endurance",""
"ItemStat_Name_CritiChance","Criti Chance",""
"ItemStat_Name_CritDamage","Crit Damage",""
"ItemStat_Name_ShipCannonFireRange","Range","10-12 characters max!"
"ItemStat_Name_ShipCannonAccuracy","Accuracy","10-12 characters max!"
"ItemStat_Name_ShipCannonDamage","Damage",""
"ItemStat_Name_ShipCannonReloadTime"," s Reload",""
