Key,SourceString,Context
"LoadingScreen_Text_Loading","LOADING",""
"Lobby_Text_ClientVersion","build version: {version}",""
"Lobby_Button_PlayOnline","[DEV] Play Online",""
"Lobby_Button_PlayOffline","[DEV] Play Offline",""
"Lobby_Button_PlayOnPersonalIsland","Play on Personal Island",""
"Lobby_Button_Play","Play",""
"Lobby_Button_PlayCoop","Play Coop",""
"Lobby_Button_Options","Settings",""
"Lobby_Text_WorkInProgress","WORK IN PROGRESS",""
"Lobby_Button_QuitGame","Quit Game",""
"Lobby_Hint_Select","Select",""
"Lobby_Social_Wishlist","Wishlist Now!",""
"Lobby_Social_JoinGameChannel","Join Discord",""
"Lobby_Social_ShareFeedback","Share Your Feedback",""
"Lobby_Text_HeaderDemo","Windrose Demo",""
"Lobby_Text_HeaderEA","Windrose Early Access",""
"Lobby_Info_AlphaInfo","This demo version was created so you can get acquainted with the game’s world, its atmosphere, and the first mechanics. The content here is limited, and some elements will still be refined and changed as the project develops.\r\n\r\nIf you enjoyed it, we’d be glad to hear your feedback. It truly helps us move in the right direction. This is only the beginning of the journey—many discoveries lie ahead.\r\n\r\nAdd Windrose to your wishlist and drop by our Discord—it's where a community of brave sea wolves and the development team come together.",""
"Lobby_Header_EA_Welcome","Welcome to Windrose!",""
"Lobby_Info_EA_Info","Thank you for your support and for being with us! \r\n \r\nYou’re playing Windrose during its Early Access stage — the game is still actively evolving. Bugs, rough edges, and changes to mechanics are to be expected. Not everything is perfect yet, but we believe that creating a truly great game is only possible together with you. We carefully read your feedback and do our best to take it into account as development continues. Your support means a great deal to us.\r\n\r\nThe sea is already calling, and the adventure is only gaining momentum. Follow updates on the store page and join our Discord to stay connected with us and with other captains.",""
"Lobby_Text_Kraken","- Windrose Crew",""
"Lobby_Text_CrewSign","- Kraken Express",""
"Lobby_Button_Confirm","YAAARRR!",""
"Lobby_Button_QuitWithSurvey","Quit and take the survey",""
"PlayScreen_Header_PlayPersonal","Invite a friend to co-op play",""
"PlayScreen_Header_PlayCoop","Join a friend’s game",""
"Playscreen_Subheader_YourID","Your personal ID:",""
"Playscreen_Subheader_FriendID","Friend's personal ID:",""
"Playscreen_Subheader_RememberedIDs","<T_GOLD>Remembered IDs:</>",""
"Playscreen_CTA_PaseID","Paste ID here",""
"PlayScreen_Button_PlayPersonal","Play","18 characters max"
"PlayScreen_Button_PlayCoop","Join","18 characters max"
"PlayScreen_Button_CopyID","Copy ID","18 characters max"
"PlayScreen_Button_AddID","Add ID","18 characters max"
"PlayScreen_Button_RemoveID","Remove ID","18 characters max"
"Playscreen_Text_PersonalDescription","Share your personal ID with a friend so they can connect to your server. The personal ID cannot be changed. It allows an unlimited number of friends to connect, but only 4 can be in your world at the same time.\r\n\r\n<T_NEG>At the moment, it is not possible to set a password or remove players from the world. Anyone who has your ID will be able to enter your world. Share your ID only with people you trust!</>\r\n\r\nA friend will be able to join your server <T_BOLD>only if they are in the same region as you.</>\r\n\r\n<T_GOLD>Your personal ID:</>",""
