Key,SourceString,Context
"Item_Category_None","---",""
"Item_Tooltip_Description","<T_SGOLD>{stat} {statname} </>",""
"Item_Tooltip_GradeStatValue","{name}  <T_SECONDARYSTAT>{grade}</>",""
"Item_Category_Default","Item",""
"Item_Category_Misc","Miscellaneous",""
"Item_Category_Resource","Resource",""
"Item_Category_Metal","Metal",""
"Item_Category_Food","Food",""
"Item_Category_Alchemy","Alchemy",""
"Item_Category_Tool","Tool",""
"Item_Category_Melee","Melee Weapon",""
"Item_Category_Ranged","Ranged Weapon",""
"Item_Category_Ammo","Ammo",""
"Item_Category_Armor","Armor",""
"Item_Category_Ring","Ring",""
"Item_Category_Necklace","Necklace",""
"Item_Category_Insignia","Insignia",""
"Item_Category_BuildingElement","Building Element",""
"Item_Category_ItemRecipe","Item Recipe",""
"Item_Category_Medicine","Medicine",""
"Item_Category_Backpack","Backpack",""
"Item_Category_ShipWeapon","Cannon",""
"Item_Category_ShipHullMod","Hull Modification",""
"Item_Category_ShipSailMod","Sail Modification",""
"Item_Category_ShipCombatOrder","Combat Order",""
"Item_Category_ShipCrewEquipment","Crew Equipment",""
"Item_Text_Amount","x{value}",""
"Item_Status_Equipped","[Equipped]",""
"Item_Status_Quest","Quest item (cannot be destroyed)",""
"Item_Quality_Mark","+{value}",""
"EscapeMenu_Header_Menu","Options",""
"EscapeMenu_Button_BackToGame","Back to Game",""
"EscapeMenu_Button_Settings","Settings","25-30 characters max"
"EscapeMenu_Button_ExitToLobby","Exit to Main Menu","25-30 characters max"
"FastTravel_Text_ActiveMark","Travel to destination",""
"FastTravel_Text_CurrentMark","You are here",""
"Mark_EasyExploreUnrecognized_TooltipHint","Undiscovered place",""
"FastTravel_Text_Name","Fast travel",""
"FastTravel_Text_TravelFailed","Travel failed",""
"Inventory_Header_Equipment","Armor",""
"Inventory_Header_Accessories","Accessories",""
"Inventory_Header_Ammo","Ammo",""
"Inventory_Header_Backpack","Backpack",""
"Inventory_Header_QuestItems","Curiousities",""
"Inventory_Button_StackToBackpack","Take same","~12 characters recommended"
"Inventory_Button_StackToStorage","Deposit same","~12 characters recommended"
"Inventory_Button_AllToBackpack","Take all","~12 characters recommended"
"Inventory_Button_AllToStorage","Deposit all","~12 characters recommended"
"Inventory_Button_Drop","Drop",""
"Inventory_Button_Sort","Sort","as short as possible"
"Inventory_Text_CharacterArmorLevel","<T_GRAY>Average armor item level: </><T_GOLD>{value}</>",""
"Inventory_Text_CharacterLoad","{current} / {max} kg",""
"Inventory_Text_CharacterLoadOverweight","{current} / {max} kg (OVERWEIGHT)",""
"Inventory_Text_ContainerLoad","{value} kg",""
"Inventory_Text_RequiredAmount","{style}{required}</> <Default>({stock})</>",""
"Inventory_Text_NoQuestItems","You don't own any Curios",""
"Inventory_Text_NoLoot","Nothing to loot",""
"Inventory_Text_EmptyPersonalChest","You can only loot this chest once.",""
"Inventory_Text_EmptySharedChest","The chest will fill with loot every 12 hours.",""
"Inventory_Text_NoItems","Empty",""
"Inventory_Text_MainStatTooltip","<T_MAINSTAT>{0}</> <T_POWERCOLOR>{1}</>",""
"Inventory_Text_ItemLevelTooltip","<T_POWERCOLOR>Item level:</> <T_MAINSTAT> {value}</>",""
"Inventory_Text_ItemLevelUpgrade","Item level: <T_LARGEVALUE>{value}</>",""
"Inventory_Text_MainStatCharStat","<T_MAINSTAT>{value}</>",""
"Inventory_Text_SecondStatCharStat","<T_SECONDARYSTAT>{value}</>",""
