Key,SourceString,Context
"RecipeType_RamshackleBarrier","Ramshackle barrier",""
"RecipeType_Cooking","Cooking",""
"RecipeType_Weaponsmithing","Weaponsmithing",""
"RecipeType_ResourceProcessing","Resource Processing",""
"RecipeType_Equipment","Equipment",""
"RecipeType_Armor","Armor",""
"RecipeType_ArmorUpgrade","Armor Upgrade",""
"RecipeCard_AlchemyTable","Alchemy table","RamshackleBarrier"
"RecipeCard_AlchemyTable_Simple","Simple alchemy table","RamshackleBarrier"
"RecipeCard_AlchemyTable_Large","Large alchemy table","RamshackleBarrier"
"RecipeCard_Campfire","Campfire","Cooking"
"RecipeCard_Kitchen_Small","Small kitchen","Cooking"
"RecipeCard_Kitchen_Large","Large kitchen","Cooking"
"RecipeCard_WeaponTable","Weapon table","Weaponsmithing"
"RecipeCard_WeaponTable_Large","Large weapon table","Weaponsmithing"
"RecipeCard_Furnace","Furnace","Resource Processing"
"RecipeCard_CharcoalPile","Charcoal pile","Resource Processing"
"RecipeCard_Workbench_Simple","Simple workbench","Equipment"
"RecipeCard_Workbench_Large","Large workbench","Equipment"
"RecipeCard_ArmorWorkbench_Beginner","Beginner's armorer's workbench","Armor"
"RecipeCard_ArmorWorkbench_Journeyman","Journeyman's Armor Workbench","Armor"
"RecipeCard_ArmorWorkbench_ArmorMaster","Armor Master's Workbench","Armor"
"RecipeCard_ArmorUpgradeTable","Armor Upgrade Table","Armor Upgrade"
