Key,SourceString,Context
"emptykey","emptystring",""
"Comicbook_Intro_1","17ХХ год\r\n\r\nМОРЯ СОДРОГАЮТСЯ ОТ ГРОХОТА ПУШЕК И ОКРАШИВАЮТСЯ В ЦВЕТ КРОВИ.",""
"Comicbook_Intro_2","Эдвард Тич – Черная Борода – провозглашает себя королем пиратов Вест-Индии.\r\nПолзут слухи, что он заключил сделку с самим Дьяволом и повелевает мертвецами.",""
"Comicbook_Intro_3","Разгромив Британский флот, Тич направляет свои силы на Тортугу – последний оплот свободы и независимости в Карибском море.\r\nЖелая избежать столкновения и прихватив с собой еще пару бедолаг, вы пытаетесь проскользнуть сквозь кольцо блокады на своем быстроходном корабле.",""
"Comicbook_Intro_4","Но спустя всего несколько дней вы просыпаетесь в каюте и понимаете, что на вас напали...",""
"Comicbook_A2_Part1_Page1_1","Я артефакт нашел. Он и правда был на корабле.",""
"Comicbook_A2_Part1_Page1_2","Якорь мне в глотку! С этой штуковиной явно что-то не так.",""
"Comicbook_A2_Part1_Page1_3","Зови капитана – он разберется.",""
"Comicbook_A2_Part1_Page2_1","Прочь с моего корабля!",""
"Comicbook_A2_Part1_Page4_1","Это еще что такое?",""
"Comicbook_A2_Part1_Page5_1","Ишь какой резвый. Считай, ты низложен, кэп.",""
"Comicbook_A2_Part1_Page6_1","Дьявольщина, капитан Ричардс!",""
"Comicbook_A2_Part1_Page6_2","Эта гадость его жрет? Святая Мария, защити нас.",""
"Comicbook_A2_Part1_Page6_3","Заберите у него артефакт.",""
"Comicbook_A2_Part1_Page6_4","Да не голыми руками, идиоты!",""
"Comicbook_A2_Part1_Page7_1","Сбросьте тела за борт. Уходим отсюда.",""
"Comicbook_A2_WakeUp_1","Вы приходите в себя на пустынном острове. Должно быть, волны вынесли вас на берег. Вы помните, как грудь обожгло выстрелом, пуля прошла навылет, но следов не осталось.\r\nРана зажила, как будто ее и не было.",""
"Comicbook_A2_WakeUp_2","Однако ваше тело – от сердца до кончиков пальцев – оплетают переливающиеся холодным светом узоры. Дотрагиваться до них болезненно.\r\nВам надо понять, где вы находитесь и почему вы еще живы...",""
"Comicbook_A1_Part3_Page1_1","НЕКОТОРОЕ ВРЕМЯ СПУСТЯ",""
