Key,SourceString,Context
"Settings_Tabs_Gameplay","Gameplay",""
"Settings_Tabs_Controller","Controller",""
"Settings_Tabs_MouseAndKeyboard","Mouse and Keyboard",""
"Settings_Tabs_Audio","Audio",""
"Settings_Category_Building","Building",""
"Settings_Tabs_Video","Video",""
"Settings_FooterHint_Apply","Apply",""
"Settings_Hint_DiscardChanges","Discard changes",""
"Settings_Hint_ResetToDefaults","Reset to Defaults",""
"Settings_Hint_Exit","Exit",""
"Settings_SettingHeader_Display","Display",""
"Settings_SettingHeader_Graphic","Graphics",""
"Settings_SettingHeader_GraphicQuality","Graphics quality",""
"Settings_SettingName_AutoSetQuality","AutoSetQuality",""
"Settings_Description_AutoSetQuality","Automatically configure the graphics quality options based on a benchmark of the hardware.",""
"Settings_SettingHeader_AdvancedGraphics","Advanced graphics",""
"Settings_SettingName_WindowMode","Window Mode",""
"Settings_Description_WindowMode","In Windowed mode you can interact with other windows more easily, and drag the edges of the window to set the size. In Borderless Window mode you can easily switch between applications. In Fullscreen mode you cannot interact with other windows as easily, but the game will run slightly faster.",""
"Settings_OptionName_Fullscreen","Fullscreen",""
"Settings_OptionName_WindowedFullscreen","Borderless Window",""
"Settings_OptionName_Windowed","Windowed",""
"Settings_SettingName_Resolution","Resolution",""
"Settings_Description_Resolution","Display Resolution determines the size of the window in Windowed mode. In Fullscreen mode, Display Resolution determines the graphics card output resolution, which can result in black bars depending on monitor and graphics card. Display Resolution is inactive in Windowed Fullscreen mode.\r\n",""
"Settings_SettingName_MonitorSelector","Displays",""
"Settings_Description_MonitorSelector","Change Display",""
"Settings_Category_Ship","Ship",""
"Settings_Category_Menu","Menus",""
"Settings_Caregory_Character","Character",""
"Settings_Category_Default","Default",""
"Settings_OptionDescription_WindowedFullscreen","When the Window Mode is set to Borderless Window, the resolution must match the native desktop resolution.",""
"Settings_SettingName_ColorBlindMode","Color Blind Mode",""
"Settings_SettingName_ColorBlindStrength","Color Blind Strength",""
"Settings_Description_ColorBlindMode","Using the provided images, test out the different color blind modes to find a color correction that works best for you.",""
"Settings_OptionName_ColorBlindRotatorSettingOff","Off",""
"Settings_Description_ColorBlindStrength","Using the provided images, test out the different strengths to find a color correction that works best for you.",""
"Settings_OptionName_Deuteranope","Deuteranope",""
"Settings_OptionName_Protanope","Protanope",""
"Settings_OptionName_Trinanope","Trinanope",""
"Settings_SettingName_Brightness","Brightness",""
"Settings_Description_Brightness","Adjusts the brightness.",""
"Settings_Value_BrightnessFormat","{0}%",""
"Settings_SettingName_QualityPresets","Quality Presets",""
"Settings_Description_GraphicsQualityPresets","Quality Preset allows you to adjust multiple video options at once. Try a few options to see what fits your preference and device's performance.",""
"Settings_SettingName_3DResolution","Render Resolution",""
"Settings_Description_3DResolution","The game is rendered at this resolution. It does not affect the UI. Higher values improve image sharpness. Warning: setting this too high may significantly reduce frame rate and increase GPU load.",""
"Settings_SettingName_GlobalIllumination","Global Illumination",""
"Settings_SettingName_Shadows","Shadows",""
"Settings_Description_Shadows","\""Shadow quality determines the resolution and view distance of dynamic shadows. Shadows improve visual quality and give better depth perception, but can reduce performance.",""
"Settings_SettingName_AntiAliasing","Anti-Aliasing",""
"Settings_Description_AntiAliasing","Anti-Aliasing reduces jagged edges on 3D objects. Higher settings make edges smoother, but may reduce performance.",""
"Settings_SettingName_ViewDistance","View Distance",""
"Settings_Description_ViewDistance","View distance determines how far away objects are culled for performance.",""
"Settings_SettingName_Textures","Textures",""
"Settings_Description_Textures","Texture quality determines the resolution of textures in game. Increasing this setting will make objects more detailed, but can reduce performance.",""
"Settings_SettingName_Effects","Effects",""
"Settings_Description_Effects","Effects determines the quality of visual effects and lighting in game. Increasing this setting will increase the quality of visual effects, but can reduce performance.\r\n",""
"Settings_SettingName_Reflections","Reflections",""
"Settings_Description_Reflections","Reflection quality determines the resolution and accuracy of reflections.  Settings of 'High' and above use more accurate ray tracing methods to solve reflections, but can reduce performance.",""
"Settings_SettingName_PostProcessing","Post Processing",""
"Settings_Description_PostProcessing","Post Processing effects include Motion Blur, Depth of Field and Bloom. Increasing this setting improves the quality of post process effects, but can reduce performance",""
"Settings_SettingName_Foliage","Grass Draw Distance",""
"Settings_Description_Foliage","Foliage quality in the world.",""
"Settings_SettingName_Shading","Shader Quality",""
"Settings_Description_Shading","Specifies the geometry surface shading quality",""
"Settings_SettingName_VerticalSync","Vertical Sync",""
"Settings_Description_VerticalSync","Enabling Vertical Sync eliminates screen tearing by always rendering and presenting a full frame. Disabling Vertical Sync can give higher frame rate and better input response, but can result in horizontal screen tearing.\""",""
"Settings_SettingName_MotionBlur","Motion Blur",""
"Settings_Description_MotionBlur","Motion blur is the apparent streaking of moving objects in a photograph or a sequence of frames, such as a film or animation.",""
"Settings_SettingName_Bloom","Bloom",""
"Settings_Description_Bloom","Bloom is a real world light phenomena that can greatly add to the perceived realism of a rendered image at a moderate render performance cost.",""
"Settings_SettingName_HDR","HDR Display",""
"Settings_Description_HDR","High Dynamic Range (HDR) displays taking advantage of features such as higher contrast and wider color gamut",""
"Settings_Description_SupportedHDR","Supported HDR Dislpays not founded.",""
"Settings_SettingName_Sensitivity","Sensitivity",""
"Settings_SettingName_MouseSensitivityYaw","X-Axis Sensitivity",""
"Settings_Description_MouseSensitivityYaw","Sets the sensitivity of the mouse's horizontal (x) axis. With higher settings the camera will move faster when looking left and right with the mouse.",""
"Settings_SettingName_MouseSensitivityPitch","Y-Axis Sensitivity",""
"Settings_Description_MouseSensitivityPitch","Sets the sensitivity of the mouse's vertical (y) axis. With higher settings the camera will move faster when looking up and down with the mouse.",""
"Settings_SettingName_InvertVerticalAxis","Invert Vertical Axis",""
"Settings_Description_InvertVerticalAxis","Enable the inversion of the vertical look axis.",""
"Settings_SettingName_InvertHorizontalAxis","Invert Horizontal Axis",""
"Settings_Description_InvertHorizontalAxis","Enable the inversion of the Horizontal look axis.",""
"Settings_SettingName_KeyboardAndMouse","Keyboard & Mouse",""
"Settings_SettingName_Language","Language",""
"Settings_Description_Language","The language of the game.",""
"Settings_SettingName_Vibration","Vibration",""
"Settings_Description_Vibration","Turns controller vibration on/off.",""
"Settings_SettingName_Other","Other",""
"Settings_SettingName_ShowGameplayStatistics","Show gameplay statistics",""
"Settings_Description_ShowGameplayStatistics","Turn gameplay statistics on/off (top right corner)",""
"Settings_SettingName_HoldToGather","Hold Attack button to gather resources [EXPERIMENTAL]",""
"Settings_Description_HoldToGather","[EXPERIMENTAL] When this option is On, while mining or cutting wood, your character will keep gathering nearby resources as long as you hold the Attack button, until Stamina runs out.",""
"Settings_SettingName_TargetLockAutoSwitch","Toggle Auto Lock-On",""
"Settings_Description_TargetLockAutoSwitch","Set auto lock-on to new target when former target dies",""
"Settings_SettingName_Controls","Controls",""
"Settings_SettingName_LookSensitivity","Look Sensitivity",""
"Settings_Description_LookSensitivity","How quickly your view rotates.",""
"Settings_SettingName_LookSensitivityAds","Aim Sensitivity (ADS)",""
"Settings_Description_LookSensitivityAds","How quickly your view rotates while aiming down sights (ADS).",""
"Settings_SettingName_DeadZone","Controller DeadZone",""
"Settings_SettingName_LeftStickZone","Left Stick DeadZone",""
"Settings_Description_LeftStickZone","Increase or decrease the area surrounding the stick that we ignore input from.  Setting this value too low may result in the character continuing to move even after removing your finger from the stick.",""
"Settings_SettingName_RightStickZone","Right Stick DeadZone",""
"Settings_Description_RightStickZone","Increase or decrease the area surrounding the stick that we ignore input from.  Setting this value too low may result in the camera continuing to move even after removing your finger from the stick.",""
"Settings_SettingName_Volume","Volume",""
"Settings_SettingName_OverallVolume","Overall",""
"Settings_Description_OverallVolume","Adjusts the volume of everything.",""
"Settings_SettingName_MusicVolume","Music",""
"Settings_Description_MusicVolume","Adjusts the volume of music.",""
"Settings_SettingName_SoundEffects","Sound Effects",""
"Settings_Description_SoundEffects","Adjusts the volume of sound effects.",""
"Settings_SettingName_UIVolume","UI",""
"Settings_Description_UIVolume","Adjusts the volume of UI.",""
"Settings_SettingName_Ambient","Ambient",""
"Settings_Description_Ambient","Adjust the volume of Ambient",""
"Settings_SettingName_Dialogue","Dialogue",""
"Settings_Description_Dialogue","Adjusts the volume of in-game voice audio.",""
"Settings_SettingName_Sound","Sound",""
"Settings_SettingName_AudioOutputDevice","Audio Output Device",""
"Settings_Description_AudioOutputDevice","Changes the audio output device for game audio.",""
"Settings_SettingName_BackgroundAudio","Background Audio",""
"Settings_Description_BackgroundAudio","Turns game audio on/off when the game is in the background. When on, the game audio will continue to play when the game is minimized, or another window is focused.",""
"Settings_SettingName_Subtitles","Subtitles",""
"Settings_Description_Subtitles","Either turns subtitles off or turns voice subtitles on. When voice subtitles are on, the game will display only voice subtitles, ignoring any other sounds.",""
"Settings_OptionName_VoiceSubtitles","Voice subtitles",""
"Settings_OptionName_SettingOff","Off",""
"Settings_OptionName_SettingOn","On",""
"Settings_OptionName_AllSounds","All Sounds",""
"Setting_OptionName_GamepadSlow","1 Slow",""
"Settings_OptionName_Low","Low",""
"Settings_OptionName_Medium","Medium",""
"Settings_OptionName_High","High",""
"Settings_OptionName_Epic","Epic",""
"Settings_Description_KeyAlreadyMapped","<T_GRAY>is already mapped to</>\r\n\r\n{ActionNames}\r\n\r\n<T_GRAY>This </><T_BOLD>may</><T_GRAY> cause input conflicts with </>{InKey}",""
"Settings_Description_UnbindButton","Press [RMB] to unbind",""
"Settings_Description_CancelMapping","<T_GRAY>Press any key to map it to</> {ActionNames}\r\n<T_GRAY>Press [Esc] to cancel</>",""
"Settings_Description_PressAnykeyToMap","<T_GRAY>Press any key to map it to</> {ActionNames}",""
"Settings_Description_CurrentlyMapped","{ActionNames} <T_GRAY>is currently mapped to</>",""
"Settings_MainDescription_ActionUnmapped","{ActionNames} <T_GRAY>is currently unmapped</>",""
"Settings_Header_MapControl","Map Control",""
"Settings_OptionName_Near","Near",""
"Settings_Button_No","No",""
"Settings_Button_Yes","Yes",""
"Settings_Description_ConfirmationMenu","You`re about to leave without applying changes you`ve just made.\r\nWould you like to apply them now?",""
"Settings_Button_Cancel","Cancel",""
"Settings_Button_ShowGamepadMappings","Show controls",""
"Settings_Header_Settings","Settings",""
"Settings_Description_ResetAll","Reset ALL settings to default ones?",""
"Settings_OptionName_Custom","Custom",""
"Settings_OptionName_SystemDefault","System Default ({0})",""
"Settings_OptionName_DefaultAudioOutputDevice","Default Output - {0}",""
"Settings_SettingName_Gamepad","Controller",""
"Settings_SettingName_DashInputDirectionRegistrationDelay","Dash Input Delay",""
"Settings_Description_DashInputDirectionRegistrationDelay","Amount of time in second the game waits after you've pressed Dash button to begin its execution.\r\nWhen using Dash, if you feel that movement direction is wrong (it may happen if you press Dash and movement direction input very close to eachother), consider increasing it a little.\r\n\r\nIncrease carefully, as this setting basically adds \""lag\"" to responsiveness of your Dash input",""
"Settings_SettingName_FrameRateLimit","Frame Rate Limit",""
