Key,SourceString,Context
"Ship_ShantyOnOff","Shanty",""
"Ship_Spyglass","Spy Glass",""
"Ship_Knots","kts",""
"ShipArmoredWall_100mm","100 mm Armored wall",""
"ShipArmoredWall_150mm","150 mm Armored wall",""
"ShipArmoredWall_200mm","200 mm Armored wall",""
"ShipArmoredWall_Base"," 100 mm Armored wall",""
"Ship_CanNotBeControlledBoarding","Involved in a boarding action",""
"Ship_Boarding_MinMax","{min}/{max}",""
"Ship_CanNotBeControlledBoardingLoser","Cannot be captured. Will be sunk.",""
"Ship_FinishBoardingWinner","Finish boarding. The loser will be sunk.",""
"Ship_NotOwner","You are not the owner of this ship",""
"Ship_Spyglass_Distance","Distance: {s} m",""
"PickupNotification_Text_AmountAndItem","В трюме: {amount} {itemname}",""
"Ship_IsDead","Ship is dead",""
"Ship_Name_Cutter","Cutter",""
"Ship_Name_AI_Cutter","Blackbeard Gunboat",""
"Ship_Name_AI_Cutter_Civilians","Gunboat",""
"Ship_Name_AI_Cutter_Bucaneers","Bucaneer Gunboat",""
"Ship_Name_AI_Cutter_Smugglers","Smuggler Gunboat",""
"Ship_Name_AI_Cutter_Brethren","Brethren Gunboat",""
"Ship_Description_Cutter","EMPTY",""
"Ship_Name_Cutter_Black","Cutter Black",""
"Ship_Name_Boat","Boat",""
"Ship_Description_Boat","Простая лодка для передвижения по спокойной воде.\r\n\r\nМожно ставить только на воду",""
"Ship_Name_Raft","Raft",""
"Ship_Description_Raft","Простой плот для передвижения по спокойной воде.\r\n\r\nМожно ставить только на воду",""
"Ship_Name_Brig","Brig",""
"Ship_Name_AI_Brig_Blackbeard","Blackbeard Interceptor",""
"Ship_Name_AI_Brig_Blackbeard_Fat","Blackbeard Transport",""
"Ship_Name_AI_Brig_Civilians","Interceptor",""
"Ship_Name_AI_Brig_Bucaneers","Bucaneer Interceptor",""
"Ship_Name_AI_Brig_Smugglers","Smuggler Interceptor",""
"Ship_Name_AI_Brig_Brethren","Brethren Interceptor",""
"Ship_Name_Frigate","Frigate",""
"Ship_Name_Galeon","Galeon",""
"Ship_Name_AI_Frigate","Blackbeard Warship",""
"Ship_Name_AI_Frigate_Fat","Blackbeard Freighter",""
"Ship_Name_AI_Frigate_Civilians","Warship",""
"Ship_Name_AI_Frigate_Bucaneers","Buccaneer Warship",""
"Ship_Name_AI_Frigate_Smugglers","Smuggler Warship",""
"Ship_Name_AI_Frigate_Brethren","Brethren Warship",""
"Ship_Name_Ketch","Ketch",""
"Ship_Name_AI_Ketch","Blackbeard Raider",""
"Ship_Name_AI_Ketch_Fat","Blackbeard Hauler",""
"Ship_Name_AI_Ketch_Civilians","Raider Ship",""
"Ship_Name_AI_Ketch_Bucaneers","Buccaneer Raider",""
"Ship_Name_AI_Ketch_Smugglers","Smuggler Raider",""
"Ship_Name_AI_Ketch_Brethren","Brethren Raider",""
"Ship_Name_Battleship","Battleship",""
"Ship_Name_Brigantine","Brigantine",""
"Ship_Name_Merchant","Merchant",""
"Ship_Name_Ship","Ship",""
"Ship_Name_Repair","Repair",""
"Ship_Name_CrewHealth","Crew Health",""
"Ship_Name_LeaveHelm","Leave Helm",""
"Ship_Notification_ShipDestroyed","Ship Destroyed",""
"Ship_Notification_VoyageLockedByQuest","A Voyage is impossible without a navigator",""
"Ship_Mizzen_Top","Mizzen-Top",""
"Ship_Main_Top","Main-Top",""
"Ship_Fore_Top","Fore-Top",""
"RadialMenu_Ship_SpyglassSwitch","Spyglass",""
"RadialMenu_Ship_Voyage","Voyage",""
"RadialMenu_Ship_ShantyMenu","Shanty",""
"RadialMenu_Ship_Shanty_Next","Next shanty",""
"RadialMenu_Ship_Shanty_Switch","Start/Stop singing",""
"RadialMenu_Ship_SpyglassSwitch_Description","What's that on the Horizon?",""
"RadialMenu_Ship_Voyage_Description","To the distant shores",""
"RadialMenu_Ship_ShantyMenu_Description","Yo-ho, yo-ho!",""
"RadialMenu_Ship_Shanty_Next_Description","Next Yo-ho",""
"RadialMenu_Ship_Shanty_ON_Description","Yo-ho!",""
"RadialMenu_Ship_Shanty_OFF_Description","No Yo-ho!",""
"Ship_CannonballSelector_ChangeAmmo","Change Ammo",""
"Ship_CannonballSelector_Gundeck","Gundeck: {index}, {side}",""
"Ship_CannonballSelector_Leftside","Left",""
"Ship_CannonballSelector_Rightside","Right",""
"Ship_Sail_TurnLeft","Turn Left",""
"Ship_Sail_TurnRight","Turn Right",""
"Ship_Shoot","Shoot",""
"Ship_Boost","Boost",""
"Boarding_Ongoing","Boarding is active",""
"Boarding_Victory","Boarding Successful!",""
"Boarding_LootChests","Search  for loot!",""
"Boarding_Started","Boarding Started",""
"Boarding_ReturnToShip","Return to your ship",""
"Boarding_ShipCaptured","Ship Captured!",""
"Boarding_Capture","Capture enemy ship!",""
"BoardingHint_Press","Press",""
"BoardingHint_ToBoard","Start Boarding",""
"Boarding_LastManStanding","You're the last man standing!",""
"Boarding_LastManStanding_Timer","Your ship will be captured in {Integer} seconds.",""
"Boarding_Allies","Allies",""
"Boarding_Enemy","Enemy",""
"Boarding_LooseShipCaptured","Your ship is captured",""
"Boarding_Loose","You lost the fight",""
"BoardingCondition_AlreadyInBoarding","Ship is already in boarding",""
"BoardingCondition_IncorrectAngle","Ships must be alongside to board",""
"BoardingCondition_TooFar","Target is too far",""
"BoardingCondition_HasObstacles","Boarding blocked by an obstacle",""
"BoardingCondition_NoFreeInterval","No free interval between ships",""
"BoardingCondition_IsDead","The ship is sinking",""
"BoardingCondition_TooMuchHP","Damage enemy ship to start boarding",""
"BoardingCondition_TooHighVelocity","You're sailing too fast to start boarding",""
"BoardingBattle_Completed","Boarding Completed",""
"BoardingBattle_BoardViolated","Return To Battle, Coward!!!",""
"BoardingBattle_BorderViolated_Timer","You will be punished in {Integer} seconds.",""
"SideNotification_Boost_NonBoostMaxGearSwitch","NOT_USEDTo achieve maximum ship speed use boost ability",""
"SideNotification_Boost_GearSwitchDuringBoost","NOT_USEDThe ship is sailing at maximum speed, disable boost first",""
"SideNotification_Boost_AiminigCancelled","NOT_USEDShooting is not available during boost",""
"SideNotification_Boost_RepairCancelled","NOT_USEDRepair is not available during boost",""
"SideNotification_Boost_InsufficientEnergy","NOT_USEDThe ship is not yet ready for boost",""
"Ship_BoatDefault_Name","Boat",""
"Ship_BoatDefault_Type","Boat | Stock Variant",""
"Ship_BoatDefault_Description","Hold your paddle, sailor",""
"Ship_BoatDefault_Stat_1","0",""
"Ship_CutterDefault_Name","Cutter",""
"Ship_CutterDefault_Type","Cutter | Stock Variant",""
"Ship_CutterDefault_Description","A swift and nimble raider, the Cutter is built for speed, not slugfests. While its light frame carries no broadside cannons, a skilled captain can slip past enemy defenses and strike where it hurts most—the vulnerable stern. Perfect for hit-and-run tactics, smuggling, or outmaneuvering heavier ships... just don’t get caught in a fair fight.",""
"Ship_CutterDefault_Stat_1","1",""
"Ship_KetchDefault_Name","Ketch",""
"Ship_KetchDefault_Type","Ketch | Stock Variant",""
"Ship_KetchDefault_Description","Кеч — один из самых распространённых кораблей Карибского моря. Его ценят за надёжность и простоту.\r\n\r\nБазовые варианты кораблей обладают сбалансированными характеристиками - не имеют ни сильных, ни слабых сторон.",""
"Ship_KetchDefault_Stat_1","2",""
"Ship_KetchDefault_Stat_2","12",""
"Ship_KetchDefault_Stat_3","S, M",""
"Ship_KetchDefault_Stat_4","2",""
"Ship_KetchDefault_Stat_5","20",""
"Ship_KetchDefault_Stat_6","22 knots",""
"Ship_KetchBrethren_Name","Ketch Brethren",""
"Ship_KetchBrethren_Type","Ketch | Brethren Variant",""
"Ship_KetchBrethren_Description","Кеч — один из самых распространённых кораблей Карибского моря. Его ценят за надёжность и простоту.\r\n\r\nКорабли Братства — настоящие морские крепости благодаря крайне прочному корпусу и просторному трюму. Однако за это они расплачиваются скоростью.",""
"Ship_KetchBlackbeard_Name","Ketch Blackbeard",""
"Ship_KetchBlackbeard_Type","Ketch | Blackbeard Variant",""
"Ship_KetchBlackbeard_Description","Кеч — один из самых распространённых кораблей Карибского моря. Его ценят за надёжность и простоту.\r\n\r\nКорабли Чернобородцев — прирождённые рейдеры. Они жертвуют бронёй и размером трюма, зато могут похвастаться скоростью и возможностью устанавливать пушки более крупного калибра.",""
"Ship_BrigDefault_Name","Brig",""
"Ship_BrigDefault_Type","Brig | Stock Variant",""
"Ship_BrigDefault_Description","A brig is a versatile war-capable ship that stands between trader and warship. Favored by captains who expect trouble.\r\n\r\nБазовые варианты кораблей обладают сбалансированными характеристиками - не имеют ни сильных, ни слабых сторон.",""
"Ship_BrigBrethren_Name","Brig Brethren",""
"Ship_BrigBrethren_Type","Brig | Brethren Variant",""
"Ship_BrigBrethren_Description","A brig is a versatile war-capable ship that stands between trader and warship. Favored by captains who expect trouble.\r\n\r\nКорабли Братства — настоящие морские крепости благодаря крайне прочному корпусу и просторному трюму. Однако за это они расплачиваются скоростью.",""
"Ship_BrigBlackbeard_Name","Brig Blackbeard",""
"Ship_BrigBlackbeard_Type","Brig | Blackbeard Variant",""
"Ship_BrigBlackbeard_Description","A brig is a versatile war-capable ship that stands between trader and warship. Favored by captains who expect trouble.\r\n\r\nКорабли Чернобородцев — прирождённые рейдеры. Они жертвуют бронёй и размером трюма, зато могут похвастаться скоростью и возможностью устанавливать пушки более крупного калибра.",""
"Ship_BrigCivilians_Name","Brig Civilians",""
"Ship_BrigDefault_Stat_1","3",""
"Ship_BrigantineDefault_Name","Brigantine",""
"Ship_BrigantineDefault_Type","Brigantine | Stock Variant",""
"Ship_BrigantineDefault_Description","Good speed and can shoot some",""
"Ship_BrigantineDefault_Stat_1","4",""
"Ship_FrigateDefault_Name","Frigate",""
"Ship_FrigateDefault_Type","Frigate | Stock Variant",""
"Ship_FrigateDefault_Description","A frigate is a true ship of war, meant to dominate open waters.\r\n\r\nБазовые варианты кораблей обладают сбалансированными характеристиками - не имеют ни сильных, ни слабых сторон.",""
"Ship_FrigateBrethren_Name","Frigate Brethren",""
"Ship_FrigateBrethren_Type","Frigate | Brethren Variant",""
"Ship_FrigateBrethren_Description","A frigate is a true ship of war, meant to dominate open waters.\r\n\r\nКорабли Братства — настоящие морские крепости благодаря крайне прочному корпусу и просторному трюму. Однако за это они расплачиваются скоростью.",""
"Ship_FrigateBlackbeard_Name","Frigate Blackbeard",""
"Ship_FrigateBlackbeard_Type","Frigate | Blackbeard Variant",""
"Ship_FrigateBlackbeard_Description","A frigate is a true ship of war, meant to dominate open waters.\r\n\r\nКорабли Чернобородцев — прирождённые рейдеры. Они жертвуют бронёй и размером трюма, зато могут похвастаться скоростью и возможностью устанавливать пушки более крупного калибра.",""
"Ship_FrigateDefault_Stat_1","5",""
"Ship_GalleonDefault_Name","Galleon",""
"Ship_GalleonDefault_Type","Galleon | Stock Variant",""
"Ship_GalleonDefault_Description","Old but gold",""
"Ship_GalleonDefault_Stat_1","6",""
"Ship_MerchantDefault_Name","Big Merchant",""
"Ship_MerchantDefault_Type","Big Merchant | Stock Variant",""
"Ship_MerchantDefault_Description","Can pack half of Tourtuga and have some free space left",""
"Ship_MerchantDefault_Stat_1","7",""
"Ship_RoyalDefault_Name","Battleship Royal",""
"Ship_RoyalDefault_Type","Battleship Royal | Stock Variant",""
"Ship_RoyalDefault_Description","Decimated everything within cannons' range",""
"Ship_RoyalDefault_Stat_1","8",""
"Ship_Name_AI_Ketch_Unsinkable","Unsinkable",""
"Ship_Name_AI_Brig_BonySue","Bony Sue",""
"Ship_Name_AI_Ketch_HappyKraken","Happy Kraken",""
"Ship_Name_AI_Ketch_OldDebbiesBones","Old Debbie's Bones",""
"Ship_Name_AI_Brig_Devourer","Devourer",""
"Ship_Name_AI_Brig_WanderingGhost","Wandering Ghost",""
"Ship_Name_AI_Frigate_Hellfire","Hellfire",""
"Ship_Name_AI_Frigate_RoyalJames","Royal James",""
"Ship_Name_AI_Brig_GrimReaper","Grim Reaper",""
"Ship_Name_AI_Ketch_PrancingPony","Prancing Pony",""
"Ship_Name_AI_Ketch_Weevil","Weevil",""
"Ship_Name_AI_Ketch_Ranger","Ranger",""
"Ship_Name_AI_Frigate_NewArk","New Ark",""
"Ship_Name_AI_Frigate_TheHunchbackPilgrim","The Hunchback Pilgrim",""
"Ship_Buff_ImprovedStability","Improved Stability UNUSED",""
"Ship_Buff_AmbushDescription","Next shot damage increased",""
"Ship_Buff_CombatRepairsDescription","Restoring hull HP",""
"Ship_Interaction_BatteryControl","Control the Battery",""
"Ship_Buff_ImprovisedDefenceDescription","50% reduced damage taken, lose one stack on taking damage",""
"Ship_Debuff_VulnerabilityDescription","Damage taken increased",""
"Ship_Buff_FortifiedHullDescription","Losing hull HP reduces damage taken up to 60%",""
"Ship_Buff_ImprovedStabilityDescription","Description needed",""
"Ship_Debuff_LightSailDamage_Description","-30% Movement speed",""
"Ship_Debuff_MediumSailDamage_Description","-60% Movement speed",""
"Ship_Debuff_Leak","Leak",""
"Ship_Debuff_Leak_Description","Hull damage over time",""
"Ship_dropped_Container_ShipDroppedLoot","Ship Dropped Loot",""
"Ship_Buff_Ambush","Ambush",""
"Ship_Buff_CombatRepairs","No Quarter",""
"Ship_Buff_ImprovisedDefence","Standfast",""
"Ship_Buff_FortifiedHull","Iron Resolve",""
"Ship_Buff_ActiveDefence","Keelhold",""
"Ship_Buff_FocusedMaintenance","Shipshape",""
