Key,SourceString,Context
"Talent_Crusher_Berserk_Name","Berserk",""
"Talent_Crusher_Berserk_Description","For every {2} Health lost you gain an effect stack granting you {1} bonus Damage.",""
"Talent_Crusher_Berserk_GE_Status_Name","Berserk",""
"Talent_Crusher_Berserk_GE_Status_Description","You gain {0} bonus Melee Damage for each stack.",""
"Talent_Crusher_CrudeDamage_Name","Bonecrusher",""
"Talent_Crusher_DamageForDeathNearby_Name","Dominating Presence",""
"Talent_Crusher_DamageForMultipleTargets_Name","Momentum",""
"Talent_Crusher_DamageResistWithTwoHandedWpn_Name","Storm Bracing",""
"Talent_Crusher_TemporalHPHealBuff_Name","Retribution",""
"Talent_Crusher_TwoHandedDamage_Name","Massive",""
"Talent_Crusher_TwoHandedMeleeCritChance_Name","Executioner’s Aim",""
"Talent_Crusher_TwoHandedStaminaReduced_Name","Perfected Form",""
"Talent_Crusher_CrudeDamage_Description","Increases Crude Damage by {0}.",""
"Talent_Crusher_DamageForDeathNearby_Description","When an enemy dies within {2}m, you gain {0} Melee Damage bonus for {1}s.",""
"Talent_Crusher_DamageForDeathNearby_Status_Name","Dominating Presence",""
"Talent_Crusher_DamageForDeathNearby_Status_Description","Melee Damage increased by {0}",""
"Talent_Crusher_DamageForMultipleTargets_Description","For hitting {2} or more enemies you gain an effect stack granting you {0} additional Damage. Every attack that hits fewer than {2} enemies removes an effect stack. Capped at {1} stacks.",""
"Talent_Crusher_DamageResistWithTwoHandedWpn_Description","You gain {0} Damage Resistance, while wielding a two-handed weapon.",""
"Talent_Crusher_TemporalHPHealBuff_Description","Your attacks are {0} more effective in converting Temporal Health into Health.",""
"Talent_Crusher_TwoHandedDamage_Description","Increases two-handed weapon Damage by {0}.",""
"Talent_Crusher_TwoHandedMeleeCritChance_Description","Increases Critical Hit Chance with two-handed melee weapons by {0}.",""
"Talent_Crusher_TwoHandedStaminaReduced_Description","Two-handed weapon attacks consume {0} less Stamina per attack.",""
"Talent_Fencer_ConsecutiveMeleeHitsBonus_Name","Deadly Finale",""
"Talent_Fencer_CritChanceForPerfectBlock_Name","Perfect Counter",""
"Talent_Fencer_DamageForSoloEnemy_Name","Duelist",""
"Talent_Fencer_HealForKill_Name","Executioner’s Grace",""
"Talent_Fencer_LessStaminaForDash_Name","Agile",""
"Talent_Fencer_OneHandedDamage_Name","Quick Strikes",""
"Talent_Fencer_OneHandedMeleeCritChance_Name","Surgical Cuts",""
"Talent_Fencer_PassiveReloadBoostForPerfectBlock_Name","Disciplined Fencer",""
"Talent_Fencer_PassiveReloadBoostForPerfectDodge_Name","Evasive Fencer",""
"Talent_Fencer_RiposteDamageBonus_Name","Riposte Mastery",""
"Talent_Fencer_SlashDamage_Name","Deep Cuts",""
