Date/Time,Word Count,de,en,es,fr,it,ja,ko,pl,pt-BR,R5DevCulture,ru,tr,zh-Hans
2024.10.01-17.22.54,18429,0,0,0,0,0,0,0,0,0,18429,0,0,0
2024.10.01-17.25.42,18429,0,0,0,0,0,0,0,0,0,18429,5189,0,0
2024.10.01-17.26.28,18429,0,14099,0,0,0,0,0,0,0,18429,5189,0,0
2024.10.01-17.31.10,18429,0,14099,0,0,0,0,0,0,0,18429,5316,0,0
2024.10.04-13.52.28,18429,0,14517,0,0,0,0,0,0,0,18429,5254,0,0
2024.10.04-14.58.40,18429,0,15000,0,0,0,0,0,0,0,18429,5254,0,0
2024.10.08-10.04.30,18436,0,15000,0,0,0,0,0,0,0,18436,5254,0,0
2024.10.08-10.06.36,18436,0,14990,0,0,0,0,0,0,0,18436,5254,0,0
2024.10.08-10.07.36,18436,0,14958,0,0,0,0,0,0,0,18436,5254,0,0
2024.10.08-10.11.12,18453,0,15000,0,0,0,0,0,0,0,18453,5254,0,0
2024.10.08-10.21.51,18453,0,14990,0,0,0,0,0,0,0,18453,5254,0,0
2024.10.08-10.23.29,18453,0,15000,0,0,0,0,0,0,0,18453,5254,0,0
2024.10.08-15.53.54,18453,0,15247,0,0,0,0,0,0,0,18453,5254,0,0
2024.10.08-16.00.42,18436,0,15230,0,0,0,0,0,0,0,18436,5254,0,0
2024.10.11-11.28.07,17876,0,14278,0,0,0,0,0,0,0,17876,5340,0,0
2024.10.11-11.35.43,17876,0,14580,0,0,0,0,0,0,0,17876,5507,0,0
2024.10.30-10.22.26,18436,0,18008,0,0,0,0,0,0,0,17472,5194,0,0
2024.10.30-10.40.26,25295,0,17987,0,0,0,0,0,0,0,25295,5179,0,0
2025.03.11-13.35.28,31628,0,17780,0,0,0,0,0,0,0,31628,5093,0,0
2025.03.11-13.45.44,33730,0,17780,0,0,0,0,0,0,0,33730,5093,0,0
2025.03.25-17.00.28,34737,0,17109,0,0,0,0,0,0,0,34737,4750,0,0
2025.03.25-17.01.22,34737,0,18572,0,0,0,0,0,0,0,34737,4750,0,0
2025.03.31-16.43.13,35161,0,18538,0,0,0,0,0,0,0,35161,4715,0,0
2025.03.31-16.44.50,35161,0,19046,0,0,0,0,0,0,0,35161,4715,0,0
2025.04.02-10.06.54,35176,0,19044,0,0,0,0,0,0,0,35176,4713,0,0
2025.04.02-10.30.37,35176,45,19067,0,0,0,0,0,0,0,35176,4758,0,45
2025.04.09-09.57.43,35634,52,19057,0,0,0,0,0,0,0,35634,4747,0,52
2025.04.09-09.58.58,35634,52,19057,0,0,0,0,0,0,0,35634,4747,0,2974
2025.04.09-10.00.39,35634,2974,19057,0,0,0,0,0,0,0,35634,4747,0,2974
2025.04.09-11.53.07,35641,2974,19057,0,0,0,0,0,0,0,35641,4747,0,2984
2025.04.11-11.36.37,36281,2964,19059,0,0,0,0,0,0,0,36281,4735,0,2974
2025.04.14-11.38.13,38125,2964,10720,0,0,0,0,0,0,0,38125,4727,0,2974
2025.04.14-11.40.12,38125,2964,21372,0,0,0,0,0,0,0,38125,4727,0,2974
2025.04.16-10.28.12,45798,2721,20485,0,0,0,0,0,0,0,45798,4725,0,2731
2025.04.16-10.30.16,45798,2721,20903,0,0,0,0,0,0,0,45798,4725,0,2731
2025.04.16-14.24.43,46079,2721,21259,0,0,0,0,0,0,0,46079,4725,0,2731
2025.04.16-14.27.17,46079,2721,21259,0,0,0,0,0,0,0,46079,4725,0,14190
2025.04.16-14.39.44,46079,14170,21259,0,0,0,0,0,0,0,46079,4725,0,14190
2025.04.16-15.52.04,46079,14186,21259,0,0,0,0,0,0,0,46079,4725,0,14190
2025.04.16-16.06.22,46079,14186,23112,0,0,0,0,0,0,0,46079,4725,0,14190
2025.04.16-16.48.15,46079,14186,28719,0,0,0,0,0,0,0,46079,4725,0,14190
2025.04.18-16.00.22,46256,13921,30210,0,0,0,0,0,0,0,45409,4725,0,13925
2025.04.18-16.02.09,46321,13921,30198,0,0,0,0,0,0,0,46321,4725,0,13925
2025.04.18-19.37.37,46305,13877,30088,0,0,0,0,0,0,0,46305,4857,0,13881
2025.04.18-19.39.54,46305,13877,29836,0,0,0,0,0,0,0,46305,4857,0,13881
