Date/Time,Word Count,en
2024.02.16-14.47.47,8746,8746
2024.03.12-09.46.38,34546,34546
2024.03.12-09.52.47,8044,8044
2024.03.12-14.20.20,7759,7759
2024.03.12-14.51.15,7395,7395
2024.03.12-15.18.13,7309,7309
2024.03.13-09.36.06,7128,7128
2024.03.13-09.43.04,7133,7133
2024.03.13-11.08.10,6892,6892
2024.03.13-14.51.30,5608,5608
2024.03.13-16.14.17,5579,5579
2024.03.13-17.42.14,5465,5465
2024.03.14-10.00.33,5433,5433
2024.03.14-13.59.41,3644,3644
2024.03.14-14.43.54,3619,3619
2024.03.14-16.38.12,3494,3494
2024.03.14-16.55.11,3478,3478
2024.03.14-18.25.36,3235,3235
2024.03.15-09.45.36,3202,3202
2024.03.15-10.51.07,3175,3175
2024.03.15-13.51.41,3105,3105
2024.03.15-15.33.35,3039,3039
2024.03.15-16.18.30,2955,2955
2024.03.18-18.11.55,1810,1810
2024.03.18-18.29.39,1780,1780
2024.03.18-18.37.45,1779,1779
2024.03.19-17.48.03,244,244
2024.03.22-12.03.01,86,86
2024.03.22-12.17.58,71,71
2024.03.22-13.01.32,59,59
2024.03.22-14.01.03,37,37
2024.03.22-14.09.27,35,35
2024.04.15-10.35.43,228,228
2024.04.15-13.07.25,182,182
2024.04.15-15.19.31,161,161
2024.04.15-16.43.58,112,112
2024.04.15-17.34.31,102,102
2024.04.16-09.58.22,51,51
2024.04.16-10.10.50,47,47
2024.04.16-10.59.13,43,43
2024.04.16-11.02.23,35,35
2024.04.16-15.22.49,38,38
2024.04.19-16.43.44,43,43
2024.04.19-16.53.13,38,38
2024.04.19-16.55.03,35,35
2024.05.31-16.41.31,192,192
2024.05.31-17.08.47,169,169
2024.05.31-17.17.22,148,148
2024.05.31-17.21.54,143,143
2024.05.31-17.25.20,141,141
2024.06.06-17.39.53,143,143
2024.07.31-12.29.14,2176,2176
2024.09.11-13.54.39,694,694
2024.09.12-13.14.57,390,390
2024.09.12-14.07.25,332,332
2024.09.12-15.05.31,231,231
2024.09.16-12.17.12,154,154
2024.09.16-12.27.27,149,149
2024.09.16-13.15.49,145,145
2024.10.11-11.39.05,633,633
2025.04.09-11.07.26,9220,9220
2025.04.10-18.22.16,9029,9029
2025.04.30-11.49.55,1510,1510
2025.05.05-15.00.21,1511,1511
2025.05.28-11.38.09,1449,1449
2026.01.20-11.42.17,5101,5101
2026.01.21-12.20.33,5051,5051
2026.01.21-13.28.24,4962,4962
2026.01.21-14.20.56,4777,4777
2026.01.21-17.53.17,4753,4753
2026.03.30-02.20.45,3378,3378
